0000,0
0001,1
0002,2
0003,3
0004,4
0005,5
0006,6
0007,7
0008,8
0009,9
0010,10
0011,11
0012,12
0013,13
0014,14
0015,15
0016,16
0017,17
0018,18
0019,19
0020,20
0021,21
0022,22
0023,23
0024,24
0025,25
0026,26
0027,27
0028,28
0029,29
0030,30
0031,31
0032,32
0033,33
0034,34
0035,35
0036,36
0037,37
0038,38
0039,39
0040,40
0041,41
0042,42
0043,43
0044,44
0045,45
0046,46
0047,47
0048,48
0049,49
0050,50
0051,51
0052,52
0053,53
0054,54
0055,55
0056,56
0057,57
0058,58
0059,59
0060,60
0061,61
0062,62
0063,63
0064,64
0065,65
0066,66
0067,67
0068,68
0069,69
0070,70
0071,71
0072,72
0073,73
0074,74
0075,75
0076,76
0077,77
0078,78
0079,79
0080,80
0081,81
0082,82
0083,83
0084,84
0085,85
0086,86
0087,87
0088,88
0089,89
0090,90
0091,91
0092,92
0093,93
0094,94
0095,95
0096,96
0097,97
0098,98
0099,99
00100,100
0101,200
0102,300
0103,400
0104,500
0105,600
0106,700
0107,800
0108,900
0109,thousand
0110,and
0111,minus
0112,point
volt0,volt
volt1,volts
amp0,amp
amp1,amps
mps0,meter per second
mps1,meters per second
kph0,kilometer per hour
kph1,kilometers per hour
meter0,meter
meter1,meters
cels0,degree celcius
cels1,degrees celcius
deg0,degree
deg1,degrees
perc0,percent
perc1,percents
0131,million
0132,millions
mamp0,mili amp
mamp1,mili amps
mamph0,mili amp hour
mamph1,mili amp hours
watt1,watt
watt1,watts
mwatt0,mili watt
mwatt1,mili watts
db0,db
db1,db
rad0,radian
rad1,radians
hour0,hour
hour1,hours
min0,minute
min1,minutes
sec0,second
sec1,seconds
rpm0,RPM
rpm1,RPM
g0,g
g1,g
0167,point 0
0168,point 1
0169,point 2
0170,point 3
0171,point 4
0172,point 5
0173,point 6
0174,point 7
0175,point 8
01706,point 9
a1_org,A 1 low
a1_red,A 1 critical
a2_org,A 2 low
a2_red,A 2 critical
a3_org,A 3 low
a3_red,A 3 critical
a4_org,A 4 low
a4_red,A 4 critical
eebad,bad EEPROM
maxtrim,trim maximum
midtrim, trim centred
mintrim,trim minimum
timovr1,timer 1 elapsed
timovr2,timer 2 elapsed
timovr3,timer 3 elapsed
inactiv,innactivity alert
lowbatt,low transmitter battery
rssi_org,RSSI low
rssi_red,RSSI critical
rx_org,receiver battery low
rx_red,receiver battery critical
swalert,switch warning
swr_red,radio antenna failure
tada,welcome to free sky taranis
hello,welcome to open TX
telemko,telemetry lost
telemok,telemetry recovered
thralert,throttle warning
timer10,10 seconds
timer20,20 seconds
timer30,30 seconds
timerlt3,time up
